election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
eilean_siar_2022_ward3,3,1.0,1.0,1.0,1.0
eilean_siar_2022_ward4,3,1.0,1.0,1.0,1.0
east_dunbartonshire_2012_ward1,4,1.0,1.0,1.0,1.0
south_ayrshire_2012_ward8,4,0.9523372734706276,1.0,1.0,1.0
aberdeenshire_2017_ward1,4,0.8387254449092181,0.8387254449092181,1.0,1.0
sc_borders_2017_ward11,4,1.0,1.0,1.0,1.0
argyll_bute_2012_ward11,4,0.6354919863510696,0.6354919863510696,0.875,0.8333333333333334
falkirk_2017_ward7,4,0.782676352269344,1.0,1.0,0.75
north_lanarkshire_2012_ward13,4,1.0,1.0,1.0,1.0
aberdeen_2017_ward11,4,0.8496111600845342,0.8496111600845342,1.0,1.0
eilean_siar_2012_ward3,4,0.8719736949873724,0.8719736949873724,0.875,0.9166666666666666
aberdeenshire_2022_ward6,4,0.8638168934448242,0.8638168934448242,0.875,0.9166666666666666
eilean_siar_2017_ward4,4,0.8039449311860344,0.8039449311860344,1.0,1.0
shetland_2017_ward6,4,1.0,1.0,1.0,1.0
moray_2017_ward1,4,0.8887504962237213,1.0,0.875,0.75
moray_2012_ward7,4,0.7696097434940229,0.7946476862196241,0.875,0.8333333333333334
south_ayrshire_2012_ward6,4,0.9415273163446883,0.9415273163446883,1.0,1.0
aberdeenshire_2017_ward16,4,0.6301185055907517,0.864917872594473,1.0,0.9166666666666666
shetland_2017_ward2,4,1.0,1.0,1.0,1.0
south_lanarkshire_2012_ward16,4,0.7880325996717433,0.7880325996717433,0.875,0.8333333333333334
east_ayrshire_2012_ward2,4,0.586102602486461,0.586102602486461,0.875,0.8333333333333334
dumgal_2012_ward1,4,0.8053220820036326,0.8053220820036326,0.875,0.75
clackmannanshire_2012_ward5,4,0.8148283316787365,0.9005361983314496,0.875,0.6666666666666667
falkirk_2012_ward8,4,1.0,1.0,1.0,1.0
moray_2017_ward7,4,0.7708070079249194,1.0,1.0,0.8333333333333334
moray_2017_ward3,4,0.9298242640512439,0.9803190931555483,0.875,0.5833333333333334
orkney_2012_ward6,4,0.8768316934033968,0.8768316934033968,0.875,0.9166666666666666
shetland_2012_ward5,4,1.0,1.0,1.0,1.0
angus_2012_ward1,4,0.7673687850031392,0.7673687850031392,0.875,0.75
eilean_siar_2022_ward5,4,1.0,1.0,1.0,1.0
south_ayrshire_2017_ward6,4,1.0,1.0,0.875,0.8333333333333334
argyll_bute_2022_ward1,4,0.8946383322072923,0.8946383322072923,1.0,1.0
stirling_2012_ward5,4,1.0,1.0,1.0,1.0
east_dunbartonshire_2012_ward7,4,1.0,1.0,1.0,1.0
highland_2022_inverness_millburn,4,0.7579890474742182,0.7579890474742182,0.875,0.9166666666666666
midlothian_2022_ward2,4,0.7645584536713003,0.7645584536713003,0.875,0.9166666666666666
north_lanarkshire_2012_ward9,4,1.0,1.0,1.0,1.0
dumgal_2012_ward2,4,0.8546854568143276,0.8546854568143276,0.875,0.9166666666666666
east_ayrshire_2017_ward2,5,0.7362229273614895,0.7362229273614895,0.9,0.9333333333333333
east_dunbartonshire_2022_ward7,5,0.8681122419506362,1.0,1.0,1.0
south_lanarkshire_2022_ward19,5,0.8091760117471618,1.0,1.0,0.8333333333333334
aberdeenshire_2017_ward4,5,0.8793924519176654,1.0,0.9333333333333332,0.9
north_lanarkshire_2022_ward14,5,0.834849714139915,1.0,0.9,0.9333333333333333
argyll_bute_2022_ward11,5,0.7336642888611047,0.7336642888611047,0.8333333333333333,0.8333333333333334
east_dunbartonshire_2012_ward4,5,0.8020904158454613,1.0,1.0,1.0
